frag_id,charge,spin_multiplicity,fragment
frag148,0,1,[H][O+]1O[C@]1([H])C([H])([H])C([H])([H])[O-]
frag149,0,1,[H][O+]1O[C@@]1([H])C([H])([H])C([H])([H])[O-]
frag150,0,1,[H][C-]1OC([H])([H])C([H])([H])O[O+]1[H]
frag151,0,1,[H][C-]([H])O[O+]([H])[C@@]1([H])OC1([H])[H]
frag152,0,1,[H][C-]([H])O[O+]([H])[C@]1([H])OC1([H])[H]
frag153,0,1,[H]O[C-]1[O+]([H])OC([H])([H])C1([H])[H]
frag154,0,1,[H][C-]([H])[C@]1([H])OC([H])([H])O[O+]1[H]
frag155,0,1,[H][C-]([H])[C@@]1([H])OC([H])([H])O[O+]1[H]
frag156,0,1,[H][O+]([O-])[C@@]1([H])OC([H])([H])C1([H])[H]
frag157,0,1,[H][O+]([O-])[C@]1([H])OC([H])([H])C1([H])[H]
frag158,0,1,[H]O[C@@]1([H])[C-]([H])C([H])([H])O[O+]1[H]
frag159,0,1,[H]O[C@]1([H])[C-]([H])C([H])([H])O[O+]1[H]
frag160,0,1,[H][C-]1[O+]([H])[O+]([O-])C([H])([H])C1([H])[H]
frag161,0,1,[H][C-]([H])C([H])([H])[C@]1([H])OO[O+]1[H]
frag162,0,1,[H][C-]([H])C([H])([H])[C@@]1([H])OO[O+]1[H]
frag163,0,1,[H]O[C@@]1([H])OOC([H])([H])C1([H])[H]
frag164,0,1,[H]O[C@]1([H])OOC([H])([H])C1([H])[H]
frag165,0,1,[H]O[C@]1([H])[O+]([H])O[C-]([H])C1([H])[H]
frag166,0,1,[H]O[C@@]1([H])[O+]([H])O[C-]([H])C1([H])[H]
frag167,0,1,[H][C-]([O-])[O+]([H])[O+]1C([H])([H])C1([H])[H]
frag168,0,1,[H][O+]1[C-]([O-])C([H])([H])C([H])([H])[O+]1[H]
frag169,0,1,[H]C1([H])O[O+]([O-])C([H])([H])C1([H])[H]
frag170,0,1,[H]C1([H])OOOC([H])([H])C1([H])[H]
frag171,0,1,[H]OOC([H])([H])[O+]1[C-]([H])C1([H])[H]
frag172,0,1,[H]OOC([H])([H])[C@]1([H])[C-]([H])[O+]1[H]
frag173,0,1,[H]OOC([H])([H])[C@@]1([H])[C-]([H])[O+]1[H]
frag174,0,1,[H]O[O+]([C-]([H])[H])[O+]1[C-]([H])C1([H])[H]
frag175,0,1,[H][C-]([H])O[O+]([H])[O+]1[C-]([H])C1([H])[H]
frag176,0,2,[H][C-]1OC1([H])[H]
frag177,0,1,[H]O[O+]([H])C([H])([H])[C@@]1([H])O[C-]1[H]
frag178,0,1,[H]O[O+]([H])C([H])([H])[C@]1([H])O[C-]1[H]
frag179,0,1,[H][C-]1O[C@]1([H])C([H])([H])O[O+]([H])[H]
frag180,0,1,[H][C-]1O[C@@]1([H])C([H])([H])O[O+]([H])[H]
frag181,0,1,[H]O[O+]1[O+]([C-]([H])[C-]([H])[H])C1([H])[H]
frag182,0,1,[H]OO[O+]1[C-]([H])C([H])([H])C1([H])[H]
frag183,0,1,[H]OO[C@]1([H])[O+]([H])[C-]([H])C1([H])[H]
frag184,0,1,[H]OO[C@@]1([H])[O+]([H])[C-]([H])C1([H])[H]
frag185,0,1,[H][C-]([H])[C-]([H])[O+]1[O+]([H])OC1([H])[H]
frag186,0,1,[H]O[O+]1C([H])([H])O[C-]([H])C1([H])[H]
frag187,0,1,[H][C-]1OC([H])([H])O[O+]([H])C1([H])[H]
frag188,0,1,[H]O[O+]([H])[C@]1([H])O[C-]([H])C1([H])[H]
frag189,0,1,[H]O[O+]([H])[C@@]1([H])O[C-]([H])C1([H])[H]
frag190,0,1,[H][C-]1O[C@@]([H])(O[O+]([H])[H])C1([H])[H]
frag191,0,1,[H][C-]1O[C@]([H])(O[O+]([H])[H])C1([H])[H]
frag192,0,1,[H]O[O+]1[O+]([H])[C-]([H])[C-]([H])C1([H])[H]
frag193,0,1,[H][C-]1[C-]([H])C([H])([H])O[O+]([H])[O+]1[H]
frag194,0,1,[H]O[C-]([H])[C@]1([H])[O+](O[H])C1([H])[H]
frag195,0,1,[H]O[C-]([H])[C@@]1([H])[O+](O[H])C1([H])[H]
frag196,0,1,[H]O[C-]([H])[C@]1([H])[O+]([H])OC1([H])[H]
