batch,fragname,confname,energy,enthalpy
batch1,frag1027,27,0.0218563876307,0.121015
batch1,frag1009,524,,
batch1,frag113,3,,
batch1,frag1009,283,,
batch1,frag1134,9,0.0856722806773,0.183114
batch1,frag1008,24,,
batch1,frag1004,43,,
batch1,frag1049,36,,
batch1,frag1032,138,,
batch1,frag1072,18,,
batch1,frag1066,5,,
batch1,frag1144,2,,
batch1,frag1003,48,,
batch1,frag1124,19,,
batch1,frag1113,50,,
batch1,frag1079,74,,
batch1,frag1024,16,,
batch1,frag1028,71,,
batch1,frag100,6,-0.0801827906065,0.021183
batch1,frag1138,69,,
batch1,frag1088,0,,
batch1,frag1094,82,,
batch1,frag1157,7,,
batch1,frag1014,54,,
batch1,frag1059,21,,
batch1,frag1075,0,,
batch1,frag1055,46,,
batch1,frag1093,89,,
batch1,frag1127,28,,
batch1,frag1009,400,,
batch1,frag1151,73,,
batch1,frag1132,131,,
batch1,frag1113,206,,
batch1,frag1126,229,,
batch1,frag1071,29,,
batch1,frag1112,93,,
batch1,frag1093,135,,
batch1,frag1131,173,,
batch1,frag1089,31,,
batch1,frag1035,13,,
batch1,frag1164,19,,
batch1,frag1037,9,,
batch1,frag1043,48,,
batch1,frag1112,42,,
batch1,frag1009,36,,
batch1,frag1047,2,,
batch1,frag1163,12,,
batch1,frag1032,18,,
batch1,frag1009,376,,
batch1,frag1044,43,,
batch1,frag1093,222,,
batch1,frag1093,58,,
batch1,frag110,27,,
batch1,frag1067,27,,
batch1,frag1026,35,,
batch1,frag1083,4,,
batch1,frag1009,717,,
batch1,frag1094,53,,
batch1,frag1131,26,,
batch1,frag1113,111,,
batch1,frag1057,65,,
batch1,frag1132,226,,
batch1,frag1016,77,,
batch1,frag1032,195,,
batch1,frag1167,54,,
batch1,frag1126,46,,
batch1,frag1011,4,,
batch1,frag1127,155,,
batch1,frag114,9,,
batch1,frag1133,3,,
batch1,frag1009,589,,
batch1,frag1157,16,,
batch1,frag1031,55,,
batch1,frag1070,47,,
batch1,frag107,47,,
batch1,frag1143,8,,
batch1,frag1020,81,,
batch1,frag1053,23,-0.0197124894859,0.080674
batch1,frag1135,60,,
batch1,frag1025,78,,
batch1,frag1012,31,,
batch1,frag1058,9,,
batch1,frag1090,15,,
batch1,frag1144,30,,
batch1,frag1022,73,,
batch1,frag1028,2,0.0120447724887,0.111946
batch1,frag1031,211,,
batch1,frag1101,1,,
batch1,frag1023,6,,
batch1,frag1141,18,,
batch1,frag1137,43,,
batch1,frag1020,50,,
batch1,frag1009,139,,
batch1,frag1127,242,,
batch1,frag1061,42,,
batch1,frag1081,10,,
batch1,frag1031,106,,
batch1,frag1031,84,,
batch1,frag1124,65,,
batch1,frag1003,34,,
batch1,frag1138,7,,
batch1,frag1127,184,,
batch1,frag1009,558,,
batch1,frag1032,144,,
batch1,frag1126,97,,
batch1,frag1018,6,,
batch1,frag1060,65,,
batch1,frag1106,26,,
batch1,frag1113,158,,
batch1,frag1021,77,,
batch1,frag0,2,,
batch1,frag1126,177,,
batch1,frag1093,11,,
batch1,frag1136,64,,
batch1,frag1050,27,,
batch1,frag108,24,,
batch1,frag1032,51,,
batch1,frag1005,18,,
batch1,frag1158,75,,
batch1,frag1009,498,,
batch1,frag1080,37,,
batch1,frag1021,0,,
batch1,frag1103,7,-0.0135447340421,0.085603
batch1,frag1164,50,,
batch1,frag1153,19,,
batch1,frag1125,42,0.0309420284175,0.130083
batch1,frag1129,25,0.0840838997512,0.183041
batch1,frag1071,60,,
batch1,frag1164,81,,
batch1,frag1117,23,,
batch1,frag1030,72,,
batch1,frag1108,3,,
batch1,frag1089,78,,
batch1,frag1127,61,,
batch1,frag1032,80,,
batch1,frag1009,449,,
batch1,frag1082,14,,
batch1,frag1132,178,,
batch1,frag1023,54,,
batch1,frag1062,46,,
batch1,frag1059,68,,
batch1,frag1028,38,,
batch1,frag1113,189,,
batch1,frag1013,16,,
batch1,frag1138,20,,
batch1,frag1131,5,,
batch1,frag1013,2,,
batch1,frag1081,2,,
batch1,frag1009,511,,
batch1,frag109,4,,
batch1,frag1004,76,,
batch1,frag1008,11,,
batch1,frag1094,193,,
batch1,frag1081,59,,
batch1,frag1113,65,,
batch1,frag1079,41,,
batch1,frag1020,19,,
batch1,frag1167,3,,
batch1,frag1045,4,,
batch1,frag1056,42,,
batch1,frag1107,48,-0.0904133471236,0.007901
batch1,frag1009,170,,
batch1,frag1112,224,,
batch1,frag1117,8,,
batch1,frag1027,12,0.0191628222989,0.118582
batch1,frag1051,49,,
batch1,frag1132,22,,
batch1,frag1015,73,,
batch1,frag1144,79,,
batch1,frag1019,14,,
batch1,frag1068,44,,
batch1,frag1009,606,,
batch1,frag1135,29,,
batch1,frag1143,72,,
batch1,frag1029,56,,
batch1,frag1025,31,,
batch1,frag1012,78,,
batch1,frag1077,6,,
batch1,frag1155,1,,
batch1,frag1112,133,,
batch1,frag1036,17,0.000633602412449,0.100539
batch1,frag1094,142,,
batch1,frag102,0,,
batch1,frag1009,267,,
batch1,frag110,12,,
batch1,frag1064,3,,
batch1,frag1093,217,,
batch1,frag1136,18,,
batch1,frag1067,12,,
batch1,frag111,5,,
batch1,frag1094,66,,
batch1,frag1009,722,,
batch1,frag1014,8,,
batch1,frag1016,42,,
batch1,frag1132,213,,
batch1,frag1060,19,,
batch1,frag1057,50,,
batch1,frag1131,13,,
batch1,frag1113,124,,
batch1,frag1131,197,,
batch1,frag1112,77,,
batch1,frag1035,26,,
batch1,frag108,58,,
batch1,frag1044,76,,
batch1,frag1009,343,,
batch1,frag1163,27,,
batch1,frag1151,46,,
batch1,frag1009,435,,
batch1,frag1009,392,,
batch1,frag1113,233,,
batch1,frag1082,68,,
batch1,frag1132,104,,
batch1,frag1056,1,,
batch1,frag1093,100,,
batch1,frag1131,146,,
batch1,frag1052,78,,
batch1,frag1028,44,,
batch1,frag1057,81,,
batch1,frag1024,23,,
batch1,frag1055,73,,
batch1,frag1059,14,,
batch1,frag1014,61,,
batch1,frag1023,28,,
batch1,frag1081,25,,
batch1,frag1124,50,,
batch1,frag1113,19,,
batch1,frag1031,133,,
batch1,frag1128,37,,
batch1,frag109,36,,
batch1,frag1032,171,,
batch1,frag1122,0,,
batch1,frag1137,76,,
batch1,frag1039,1,-0.0524934049516,0.029646
batch1,frag1051,35,,
batch1,frag1094,229,,
batch1,frag1061,77,,
batch1,frag1107,34,-0.0888254342144,0.009295
batch1,frag1020,65,,
batch1,frag10,2,-0.0152525865603,0.058835
batch1,frag1160,9,,
batch1,frag1068,38,,
batch1,frag1135,55,,
batch1,frag1053,16,-0.0196372186892,0.08108
batch1,frag1090,20,,
batch1,frag1022,46,,
batch1,frag1019,68,,
batch1,frag1110,2,,
batch1,frag1032,5,,
batch1,frag1031,224,,
batch1,frag1126,73,,
batch1,frag1129,4,0.0862156679162,0.185349
batch1,frag1167,61,,
batch1,frag1086,8,,
batch1,frag1127,160,,
batch1,frag1070,72,,
batch1,frag1031,60,,
batch1,frag1157,23,,
batch1,frag1124,81,,
batch1,frag107,72,,
batch1,frag1067,15,,
batch1,frag1093,210,,
batch1,frag110,15,,
batch1,frag1132,214,,
batch1,frag1057,57,,
batch1,frag1113,123,,
batch1,frag1131,14,,
batch1,frag1016,45,,
batch1,frag1009,725,,
batch1,frag1136,8,,
batch1,frag111,2,,
batch1,frag1094,61,,
batch1,frag1035,21,,
batch1,frag1112,70,,
batch1,frag1125,39,0.0309420085701,0.130083
batch1,frag1131,190,,
batch1,frag1009,344,,
batch1,frag1163,20,,
batch1,frag1044,71,,
batch1,frag1113,234,,
batch1,frag1132,103,,
batch1,frag1056,6,,
batch1,frag1009,395,,
batch1,frag1151,41,,
batch1,frag1009,432,,
batch1,frag1131,141,,
batch1,frag1093,107,,
batch1,frag1028,43,,
batch1,frag1024,24,,
batch1,frag1092,0,,
batch1,frag1014,66,,
batch1,frag1055,74,,
batch1,frag1059,13,,
batch1,frag1124,57,,
batch1,frag1031,134,,
batch1,frag1128,30,,
batch1,frag1112,199,,
batch1,frag1081,22,,
batch1,frag1032,176,,
batch1,frag1049,78,,
batch1,frag1000,0,0.0226562055772,0.088989
batch1,frag109,31,,
batch1,frag1132,88,,
batch1,frag1027,69,0.0188623394638,0.118323
batch1,frag1137,71,,
batch1,frag1051,32,,
batch1,frag1020,62,,
batch1,frag1056,39,,
batch1,frag1061,70,,
batch1,frag1107,33,-0.0888254427211,0.009294
batch1,frag1090,27,,
batch1,frag1135,52,,
batch1,frag1053,11,-0.0182211404589,0.082273
batch1,frag10,5,-0.0117855365852,0.062133
batch1,frag1031,223,,
batch1,frag1032,2,,
batch1,frag1132,59,,
batch1,frag1022,41,,
batch1,frag1110,5,,
batch1,frag1127,167,,
batch1,frag1167,66,,
batch1,frag1094,139,,
batch1,frag1126,74,,
batch1,frag1129,3,0.0862156631146,0.185347
batch1,frag107,75,,
batch1,frag1031,67,,
batch1,frag1157,24,,
batch1,frag1070,75,,
batch1,frag1159,8,,
batch1,frag1112,148,,
batch1,frag1016,39,,
batch1,frag1021,70,,
batch1,frag1060,62,,
batch1,frag1131,68,,
batch1,frag1106,21,,
batch1,frag1018,1,,
batch1,frag1136,63,,
batch1,frag1067,69,,
batch1,frag1050,20,,
batch1,frag1126,170,,
batch1,frag1093,16,,
batch1,frag110,69,,
batch1,frag1158,72,,
batch1,frag1032,56,,
batch1,frag1009,338,,
batch1,frag1009,78,,
batch1,frag108,23,,
batch1,frag1125,45,0.0309420360046,0.130081
batch1,frag1129,22,0.084083918201,0.183043
batch1,frag1164,57,,
batch1,frag1103,0,-0.0135447314131,0.085602
batch1,frag1080,30,,
batch1,frag1021,7,,
batch1,frag1108,4,,
batch1,frag1030,75,,
batch1,frag1071,67,,
batch1,frag1117,24,,
batch1,frag1082,13,,
batch1,frag1127,66,,
batch1,frag1032,87,,
batch1,frag1141,9,,
batch1,frag1062,41,,
batch1,frag1023,53,,
batch1,frag1013,5,,
batch1,frag1131,2,,
batch1,frag1138,27,,
batch1,frag1013,11,,
batch1,frag1024,58,,
batch1,frag1004,71,,
batch1,frag1094,194,,
batch1,frag1008,16,,
batch1,frag109,3,,
batch1,frag1009,516,,
batch1,frag1081,5,,
batch1,frag1079,46,,
batch1,frag1113,62,,
batch1,frag1031,148,,
batch1,frag1045,3,,
batch1,frag1056,45,,
batch1,frag1029,80,,
batch1,frag1009,177,,
batch1,frag1167,4,,
batch1,frag1035,8,,
batch1,frag1027,15,0.0191628382127,0.118582
batch1,frag1112,223,,
batch1,frag1015,74,,
batch1,frag1148,19,,
batch1,frag1019,13,,
batch1,frag1132,25,,
batch1,frag1029,51,,
batch1,frag1143,75,,
batch1,frag1025,36,,
batch1,frag1068,43,,
batch1,frag1009,601,,
batch1,frag1112,134,,
batch1,frag1031,199,,
batch1,frag1157,58,,
batch1,frag1077,1,,
batch1,frag1009,260,,
batch1,frag1094,145,,
